operatorId,geohash,address,lat,lng,acCount,dcCount,hdcCount,maxPowerKw
DE*EBW,0C105m8n,"Singen (Hohentwiel), Hochwaldstraße",47.753742,8.86314,0,2,0,50.0
DE*EBW,0C12Q91i,"Singen (Hohentwiel), Marie-Curie-Straße",47.751633,8.88602,0,0,4,300.0
DE*EBW,0C13LmWZ,"Steißlingen, Daimlerstraße",47.775566,8.917359,0,2,0,75.0
DE*EBW,0C17Japo,"Reichenau, Oberzeller Straße",47.688553,9.079896,0,0,2,150.0
DE*EBW,0C17Tfo5,"Allensbach, Hinnengasse",47.713463,9.068686,2,0,0,22.0
DE*EBW,0C17X1g1,"Allensbach, Professor-Maier-Leibnitz-Straße",47.72399,9.070333,0,0,2,150.0
DE*EBW,0C17pyJo,"Reichenau, Am Wollmatinger Ried",47.68892,9.12622,0,2,2,150.0
DE*EBW,0C195zcG,"Bodman-Ludwigshafen, Seestrasse",47.800438,9.037903,2,0,0,22.0
DE*EBW,0C1SkS_l,"Jestetten, Schaffhauser Straße",47.651005,8.57226,0,0,2,150.0
DE*EBW,0C1SkfbT,"Jestetten, Saarstrasse",47.6532,8.574437,0,0,2,150.0
DE*EBW,0C1euqS5,"Gottmadingen, Kornblumenweg",47.73608,8.78788,0,0,4,300.0
DE*EBW,0C1~bOXA,"Sipplingen, In der Breite",47.797916,9.090401,1,2,0,50.0
DE*EBW,0C31TJFP,"Horgenzell, Gossetsweiler",47.796627,9.505585,2,0,0,22.0
DE*EBW,0C31UkDs,"Horgenzell, Kornstr.",47.80298,9.498394,2,0,0,22.0
DE*EBW,0C33PYuQ,"Ravensburg, FriedenStraße",47.787846,9.617234,0,2,0,100.0
DE*EBW,0C33dSOc,"Berg, Ravensburger Strasse",47.810364,9.603649,2,0,0,22.0
DE*EBW,0C33lR2j,"Ravensburg, Elisabethenstr.",47.788624,9.625294,2,0,0,22.0
DE*EBW,0C356dcH,"Amtzell, Schulstr.",47.70799,9.74793,2,0,0,22.0
DE*EBW,0C36Awep,"Wangen im Allgäu, Kellerbühlstraße",47.640404,9.76165,1,2,0,50.0
DE*EBW,0C37prL0,"Wangen, Bahnhofstr.",47.68667,9.83158,2,0,0,22.0
DE*EBW,0C37rDjU,"Wangen im Allgäu, Hafnergasse",47.68665,9.83463,2,0,0,22.0
DE*EBW,0C37rLB2,"Wangen im Allgäu, Friedrich-Ebert-Straße",47.68657,9.8371,1,0,8,300.0
DE*EBW,0C37sV_E,"Wangen im Allgäu, Siemensstraße",47.696575,9.822768,1,2,0,100.0
DE*EBW,0C37sw1C,"Wangen im Allgäu, Ravensburger Straße",47.694633,9.828294,0,1,4,300.0
DE*EBW,0C38xVBl,"Waldburg, Hauptstaße",47.757095,9.712227,2,0,0,11.0
DE*EBW,0C3QWWmu,"Konstanz, Line-Eid-Straße",47.67352,9.15445,1,1,8,300.0
DE*EBW,0C3TV3K1,"Uhldingen-Mühlhofen, Ehbachstr.",47.724396,9.235876,4,0,0,22.0
DE*EBW,0C3TkQfC,"Meersburg, Am Stadtgraben",47.69502,9.27316,0,2,0,50.0
DE*EBW,0C3Tp1AP,"Stetten (Bodenseekreis), Kirchstraße",47.690826,9.300383,2,0,0,22.0
DE*EBW,0C3VIug0,"Überlingen, Lippertsreuter Straße",47.77038,9.17257,0,2,0,50.0
DE*EBW,0C3Vdu1h,"Owingen, Schulstr.",47.80915,9.172655,2,0,0,22.0
DE*EBW,0C3W35T9,"Salem, Am Schlosssee",47.766876,9.29151,4,0,0,22.0
DE*EBW,0C3W8CTA,"Salem, Bahnhofstr.",47.757954,9.296038,2,0,0,22.0
DE*EBW,0C3W9VLY,"Salem, Schlossseeallee",47.76769,9.29505,4,0,0,22.0
DE*EBW,0C3WDXpg,"Uhldingen-Mühlhofen, Aachstraße",47.735226,9.24214,0,2,0,100.0
DE*EBW,0C3WGmKm,"Uhldingen-Mühlhofen, Bahnhofstr",47.737015,9.247296,2,0,0,22.0
DE*EBW,0C3W_mgT,"Salem, Leutkircher Str.",47.759434,9.312632,2,0,0,22.0
DE*EBW,0C3Xhzeq,"Salem, Schlossbezirk",47.7783,9.280408,2,0,0,22.0
DE*EBW,0C3Yxk5j,"Immenstaad am Bodensee, Dr. Zimmermann-Str.",47.6665,9.366628,2,0,0,22.0
DE*EBW,0C3Z5dib,"Markdorf, Am Anger",47.712715,9.386098,2,0,0,22.0
DE*EBW,0C3Z8w9u,"Markdorf, Eisenbahnstr.",47.716797,9.389348,2,0,0,22.0
DE*EBW,0C3Z9uRd,"Markdorf, Am Stadtgraben",47.721466,9.392022,2,0,0,22.0
DE*EBW,0C3Z9wp6,"Markdorf, Bussenstr.",47.721523,9.389253,2,0,0,22.0
DE*EBW,0C3Z_uAK,"Markdorf, Dornierstr.",47.714817,9.402672,2,0,0,22.0
DE*EBW,0C3albam,"Friedrichshafen, Albrechtstraße",47.657417,9.45279,0,2,0,100.0
DE*EBW,0C3cJhsl,"Bermatingen, Bahnhofstr.",47.73053,9.345194,2,0,0,22.0
DE*EBW,0C3dslSR,"Deggenhausertal, Tschasarteter Platz",47.782307,9.388458,2,0,0,22.0
DE*EBW,0C3ld6CM,"Eriskirch, Friedrichshafener Straße",47.63389,9.52449,0,0,8,150.0
DE*EBW,0C3nC0Jh,"Kressbronn am Bodensee, Argenstraße",47.596935,9.597028,0,2,0,93.0
DE*TSL,0C3p3ccE,"Lindau (Bodensee), Josephine-Hirner-Straße",47.548462,9.725801,0,0,20,250.0
DE*EBW,0C3xn76f,"Meckenbeuren, Oskar-von-Miller-Platz",47.7009,9.5579,0,0,4,200.0
DE*EBW,0C3zTrGr,"Meckenbeuren, Max-Gutknecht-Str.",47.708714,9.601005,2,0,0,22.0
DE*EBW,0C93WxC4,"Dietmannsried, Raiffeisenstraße",47.8046,10.30008,1,0,4,150.0
DE*TSL,0C93X5eY,"Dietmannsried, Glaserstraße",47.811472,10.303149,0,0,12,250.0
DE*EBW,0C9E_cLK,"Weiler-Simmerberg, Baumeister-Bufler-Straße",47.5859,9.92354,0,0,4,200.0
DE*EBW,0C9REFvM,"Wangen im Allgäu, Am Engelberg",47.694458,9.845215,2,0,0,22.0
DE*EBW,0C9U5dLP,"Kißlegg, Kirchstr.",47.757042,9.91341,2,0,0,22.0
DE*EBW,0C9UKfU_,"Kißlegg, Dürren",47.73025,9.880631,3,3,12,300.0
DE*EBW,0C9VgOCU,"Kißlegg, Friedrich-List-Straße",47.77017,9.891592,0,2,0,75.0
DE*EBW,0C9ZG4~C,"Isny im Allgäu, Unterer Grabenweg",47.695133,10.040401,2,0,0,22.0
DE*EBW,0C9ZGqyA,"Isny im Allgäu, Notre-Dame-de-Gravenchon-Straße",47.692387,10.041047,2,0,0,22.0
DE*EBW,0C9zc8Of,"Kempten (Allgäu), Bahnhofstraße",47.717907,10.313686,0,0,2,150.0
DE*TSL,0CdsfHVb,"Weil am Rhein, Zollstraße",47.589618,7.593214,0,0,12,250.0
DE*TSL,0CdtepWW,"Eimeldingen, Im Rebacker",47.626586,7.599531,0,0,12,250.0
DE*EBW,0CdthBIy,"Weil am Rhein, BAB5, Lustgartenstr.",47.59857,7.603392,1,4,0,100.0
DE*EBW,0Cdvd5H9,"Lörrach, Industriestraße",47.634884,7.6773567,0,0,4,300.0
DE*EBW,0Cf0fM_6,"Sankt Blasien, Am Kugelrain",47.764645,8.123457,0,2,0,75.0
DE*EBW,0CfMC~SO,"Bad Säckingen, Tullastraße",47.55382,7.9305034,0,2,0,75.0
DE*EBW,0CfMIcAy,"Bad Säckingen, Tullastraße",47.55316,7.93478,0,2,0,75.0
DE*EBW,0CfN5Lg2,"Rickenbach, Kirchstraße",47.62075,7.98077,0,2,0,75.0
DE*EBW,0CfNEdRg,"Wehr, Im Hemmet",47.60864,7.913102,0,0,2,150.0
DE*EBW,0CfOuV4F,"Laufenburg (Baden), Laufenpark",47.56536,8.07562,1,0,4,300.0
DE*EBW,0CfXsxCu,"Schönau im Schwarzwald, Bahnhofstraße",47.78348,7.89395,0,0,2,150.0
DE*EBW,0Cfse94Z,"Küssaberg, Rheinpromenade",47.586926,8.304186,0,2,0,50.0
DE*EBW,0C~7KKl3,"Murnau am Staffelsee, Reschstraße",47.681377,11.200308,0,4,0,100.0
