operatorId,geohash,address,lat,lng,acCount,dcCount,hdcCount,maxPowerKw
PL*NOX,0J_3G7BK,"Długopole-Zdrój, Zdrojowa, 22",50.2435113,16.6315104,2,0,0,22.0
PL*NOX,0J~21AxC,"Srebrna Góra, Krótka, 1",50.576222,16.656083,2,0,0,22.0
PL*EQU,0J~5OEx4,"Bardo, Kolejowa 22, _",50.505574,16.732737,0,2,0,60.0
PL*SSS,0J~F883y,"Kudowa-Zdrój, Stanisława Moniuszki, 2A",50.443473,16.247297,2,0,0,21.0
PL*NOX,0J~F~AvB,"Kudowa-Zdrój, 1 Maja, 25A",50.443556,16.249667,2,0,0,22.0
PL*NOX,0J~JPXn_,"Duszniki-Zdrój, Zieleniec, 72",50.3390169,16.3832434,2,0,0,22.0
PL*NOX,0J~JPa6Y,"Duszniki-Zdrój, Zieleniec, 72",50.3370887,16.38587,2,0,0,22.0
PL*BB4,0J~Mfvhe,"Duszniki Zdrój, ul. Fryderyka Chopina dz. nr 290/24, -",50.402187,16.391393,1,1,0,50.0
PL*J45,0J~NKGyq,"Duszniki-Zdrój, Polna, 5",50.4068763,16.3832322,1,2,0,120.0
PL*8KE,0J~PNvmB,"Szczytna, Borowina, 12A",50.4243697,16.4681744,0,2,0,120.0
PL*EON,0J~PpD8s,"Polanica-Zdrój, Dębowa, 19B",50.411598,16.503634,4,0,0,22.0
PL*BB4,0J~PpSR7,"Polanica-Zdrój, Górska, 2",50.413579,16.503095,2,0,0,22.0
PL*SSS,0J~PqTtt,"Polanica-Zdrój, Tranzytowa, 30",50.4093466,16.5149027,2,0,0,21.0
PL*NOX,0J~S6bSG,"Karłów, Karłów, 6A",50.47511706,16.34123492,1,0,0,22.0
PL*WUA,0J~fpzKr,"Nowa Ruda, Piłsudskiego, 33",50.5897733,16.509166,1,2,0,120.0
PL*FEH,0J~iZlqF,"Bystrzyca Kłodzka, Strażacka, 14",50.302986,16.640211,1,0,0,11.0
PL*WUA,0J~r6slJ,"Lądek Zdrój, Śnieżna, 45",50.3411296,16.87316862,1,2,0,120.0
PL*BB4,0J~yIYil,"Kłodzko, Noworudzka, 2",50.452213,16.637201,1,2,0,50.0
PL*8BA,0J~yIYil,"Kłodzko, Noworudzka, 2",50.4520697,16.6369162,3,1,0,60.0
PL*ANW,0J~yIjho,"Kłodzko, Objazdowa, 26b",50.4500513,16.64065,1,2,0,120.0
PL*GWN,0J~yIjho,"Kłodzko, Objazdowa, 26A",50.450059,16.640528,0,2,0,140.0
PL*3T1,0J~~Hobt,"Ząbkowice Śląskie, Legnicka 25, N/A",50.5978,16.807481,1,2,0,60.0
PL*WUA,0J~~MDPD,"Ząbkowice Śląskie, 1 Maja, 9a",50.59293385,16.81093858,1,2,0,120.0
PL*GWN,0J~~MO02,"Ząbkowice Śląskie, Wrocławska, 2",50.5942999,16.8136001,1,0,0,11.0
PL*WUA,0L01O5hI,"Słomniki, Żeromskiego, 4",50.24429383,20.08119595,1,2,0,120.0
PL*FYT,0L05GqaW,"Wierzbno, Wierzbno, 27",50.1532055,20.2364774,1,0,2,180.0
PL*WUA,0L08qeF9,"Proszowice, Kolejowa, 13",50.18952548,20.29624694,1,2,0,120.0
PL*MYE,0L08u_ai,"Opatkowice, Opatkowice, 200",50.20133241,20.30241111,0,2,0,120.0
PL*WUA,0L0CfvVD,"Skawina, Radziszowska, 7",49.963012,19.817964,1,2,0,80.0
PL*JMG,0L0DDTGf,"Skawina, Ofiar Katynia, 32",49.97511,19.787825,3,0,6,150.0
PL*GWP,0L0DhMnZ,"Skawina, Kublińskiego, 4",49.973208,19.8230473,2,0,0,22.0
PL*3T1,0L0Djc2a,"Skawina, Krakowska 12, N/A",49.976145,19.834021,1,2,0,50.0
PL*WUA,0L0Dm0CU,"Skawina, Przemysłowa, 6",49.981144,19.835573,1,2,0,120.0
PL*GWN,0L0DmD71,"Skawina, Krakowska, 19A",49.978329,19.8328463,0,2,0,140.0
PL*IOY,0L0DyJ2K,"Skawina, Stanisława Chmielka, 10",49.989076,19.834399,0,0,6,350.0
PL*PEV,0L0DyJ2K,"Skawina, Stanisława Chmielka, 10",49.98904,19.834253,0,0,4,200.0
PL*PKN,0L0F4acz,"Morawica, Morawica, 285",50.078901,19.75838,1,1,0,50.0
PL*PKN,0L0F697~,"Aleksandrowice, Aleksandrowice, 130",50.081214,19.774059,1,1,0,50.0
PL*K64,0L0GHG6N,"Piekary, Piekary, 363",50.027668,19.788635,2,2,0,120.0
PL*1SN,0L0Ga68A,"Kraków, Mirowska, 203",50.0350598,19.8193978,0,0,2,150.0
PL*GWN,0L0GaPOE,"Kryspinów, Kryspinów, 502",50.03353,19.8126399,0,2,0,130.0
PL*NOX,0L0Gh0Vr,"Kraków, Bolesława Śmiałego, 60",50.0205,19.824611,2,0,0,22.0
PL*GWN,0L0GwQeo,"Kraków, Mirowska, 203",50.0352869,19.819991,1,0,0,11.0
PL*PYU,0L0H2_EP,"Kraków, Piotra Brzezińskiego, -",50.091036,19.8400036,2,0,0,11.0
PL*WUA,0L0H6~5d,"Kraków, Balicka, 157",50.0811838,19.8629133,1,2,0,120.0
PL*ELP,0L0HMNmW,"Balice, Kapitana Mieczysława Medweckiego, 22",50.0667213,19.8012681,0,1,2,150.0
PL*59G,0L0HMaeF,"Balice, Kapitana Mieczysława Medweckiego, 31",50.0678116,19.8020124,8,0,0,22.0
PL*BB4,0L0HNG7I,"Balice, Kpt. Mieczysława Medweckiego, 1",50.071511,19.799616,1,3,0,100.0
PL*FQ7,0L0HPQK5,"Kraków, Olszanicka, 174",50.0732219,19.8090937,0,0,2,200.0
PL*GWN,0L0HPQK5,"Kraków, Olszanicka, 174",50.073338,19.80856,0,2,0,60.0
PL*WUA,0L0Iuh7m,"Świątniki Górne, K. Bruchnalskiego, 30",49.93440837,19.946948,1,2,0,107.0
PL*8H7,0L0J2CMa,"Kraków, ul. Zakopiańska 167, _",49.998854,19.920176,1,1,0,30.0
PL*PYU,0L0J2rWB,"Kraków, Kąpielowa, -",49.999809,19.9281,6,0,0,22.0
PL*JMG,0L0J3n3c,"Kraków, Zakopiańska, 94",50.00659,19.9255595,1,0,0,22.0
PL*JMG,0L0J3xvl,"Kraków, Zawiła, 3",50.0077788,19.9246299,0,2,0,60.0
PL*GWP,0L0JKIEA,"Gaj, Myślenicka, 7",49.9657895,19.8993169,2,0,0,11.0
PL*19X,0L0JfZFF,"Kraków, Zawiła, 61",50.008019,19.898938,4,0,0,11.0
PL*Q55,0L0JfsaB,"Kraków, Borkowska 1, N/A",50.006199,19.905027,1,2,0,60.0
PL*7R5,0L0JkWIc,"Góra Libertowska, Góra Libertowska, 8",49.980818,19.909194,0,0,0,0.0
PL*JMG,0L0JkYRD,"Libertów, Góra Libertowska, 10",49.9803402,19.9101704,1,3,0,85.0
PL*GWN,0L0Jkci_,"Libertów, Góra Libertowska, 2",49.981211,19.910658,0,0,2,150.0
PL*Q55,0L0JkeK8,"Libertów, Góra Libertowska 1a, N/A",49.980518,19.91232,1,2,0,60.0
PL*PKN,0L0JlPft,"Kraków, Zakopiańska, 289",49.984694,19.91225,1,1,0,50.0
PL*JMG,0L0JzWcf,"Kraków, Zakopiańska, 169A",49.9983715,19.9197391,1,2,0,40.0
PL*Q55,0L0J~hCt,"Kraków, Cechowa 2, N/A",50.005057,19.945582,1,2,0,60.0
PL*GWN,0L0J~pKN,"Kraków, Stanisława Stojałowskiego, 12",50.005363,19.948685,3,6,0,50.0
PL*BYN,0L0L7blm,"Wieliczka, Krakowska, 22A",49.9967895,20.0326074,2,0,0,22.0
PL*GWN,0L0L7hIk,"Wieliczka, Krakowska, 14c",49.994405,20.033681,1,2,0,50.0
PL*115,0L0L7uH9,"Wieliczka, Krakowska 33, _",49.995213,20.038419,1,1,0,30.0
PL*1SN,0L0L7xNk,"Wieliczka, Krakowska, 37A",49.9969651,20.0344313,1,0,1,150.0
PL*1W3,0L0LyrWi,"Wieliczka, Marszałka Józefa Piłsudzkiego, 18",49.9885604,20.0161488,3,2,0,60.0
PL*MYE,0L0M017P,"Kraków, Praska, 34",50.047544,19.914247,4,2,0,50.0
PL*GWP,0L0M63zk,"Kraków, aleja Powstańców Śląskich, 22",50.03658,19.948472,2,0,0,22.0
PL*GWP,0L0M69bM,"Kraków, Powstańców Śląskich, 22",50.0367453,19.9491483,0,0,4,175.0
PL*NOX,0L0M8Uh2,"Kraków, Monte Cassino, 2",50.047459,19.9297859,4,0,0,11.0
PL*QWC,0L0M8WJe,"Kraków, Jana Bułhaka, 111",50.04655,19.931011,2,0,0,20.0
PL*JMG,0L0MCvEi,"Kraków, Karola Bunscha, 23",50.012113,19.884021,2,0,0,22.0
PL*PEV,0L0MIHMC,"Kraków, Bunscha, 19",50.012415,19.887033,0,0,6,540.0
PL*BYN,0L0MISZT,"Kraków, Karola Bunscha, 19",50.0131982,19.8865103,2,0,0,22.0
PL*MYE,0L0MJhCb,"Kraków, Lubostroń, dz 111/44",50.015959,19.891244,2,0,0,22.0
